nptsu 	 nptsv	 kS
10	 10	 4
14	 knots in u direction 
1	 -1.570796
2	 -1.570796
3	 -1.570796
4	 -1.570796
5	 -1.291274
6	 -1.011752
7	 -0.732230
8	 -0.452708
9	 -0.173186
10	 0.106336
11	 0.385858
12	 0.385858
13	 0.385858
14	 0.385858
14	  knots in v direction
1	 -2.692794
2	 -1.795196
3	 -0.897598
4	 0.000000
5	 0.897598
6	 1.795196
7	 2.692794
8	 3.590392
9	 4.487990
10	 5.385587
11	 6.283185
12	 7.180783
13	 8.078381
14	 8.975979
Control points are: 
10 	 in u direction 
10 	 in v direction 
Iu 	 Jv 	 A_IJ 
1	 1	 0.313624
1	 2	 0.313624
1	 3	 0.313624
1	 4	 0.313624
1	 5	 0.313624
1	 6	 0.313624
1	 7	 0.313624
1	 8	 0.313624
1	 9	 0.313624
1	 10	 0.313624
2	 1	 0.313624
2	 2	 0.313624
2	 3	 0.313624
2	 4	 0.313624
2	 5	 0.313624
2	 6	 0.313624
2	 7	 0.313624
2	 8	 0.313624
2	 9	 0.313624
2	 10	 0.313624
3	 1	 0.308540
3	 2	 0.308540
3	 3	 0.308540
3	 4	 0.308540
3	 5	 0.308540
3	 6	 0.308540
3	 7	 0.308540
3	 8	 0.308540
3	 9	 0.308540
3	 10	 0.308540
4	 1	 0.304222
4	 2	 0.304222
4	 3	 0.304222
4	 4	 0.304222
4	 5	 0.304222
4	 6	 0.304222
4	 7	 0.304222
4	 8	 0.304222
4	 9	 0.304222
4	 10	 0.304222
5	 1	 0.311845
5	 2	 0.311845
5	 3	 0.311845
5	 4	 0.311845
5	 5	 0.311845
5	 6	 0.311845
5	 7	 0.311845
5	 8	 0.311845
5	 9	 0.311845
5	 10	 0.311845
6	 1	 0.323751
6	 2	 0.323751
6	 3	 0.323751
6	 4	 0.323751
6	 5	 0.323751
6	 6	 0.323751
6	 7	 0.323751
6	 8	 0.323751
6	 9	 0.323751
6	 10	 0.323751
7	 1	 0.338191
7	 2	 0.338191
7	 3	 0.338191
7	 4	 0.338191
7	 5	 0.338191
7	 6	 0.338191
7	 7	 0.338191
7	 8	 0.338191
7	 9	 0.338191
7	 10	 0.338191
8	 1	 0.356858
8	 2	 0.356858
8	 3	 0.356858
8	 4	 0.356858
8	 5	 0.356858
8	 6	 0.356858
8	 7	 0.356858
8	 8	 0.356858
8	 9	 0.356858
8	 10	 0.356858
9	 1	 0.372553
9	 2	 0.372553
9	 3	 0.372553
9	 4	 0.372553
9	 5	 0.372553
9	 6	 0.372553
9	 7	 0.372553
9	 8	 0.372553
9	 9	 0.372553
9	 10	 0.372553
10	 1	 0.380363
10	 2	 0.380363
10	 3	 0.380363
10	 4	 0.380363
10	 5	 0.380363
10	 6	 0.380363
10	 7	 0.380363
10	 8	 0.380363
10	 9	 0.380363
10	 10	 0.380363
