nptsu 	 nptsv	 kS
10	 10	 4
14	 knots in u direction 
1	 -1.570796
2	 -1.570796
3	 -1.570796
4	 -1.570796
5	 -1.291274
6	 -1.011752
7	 -0.732230
8	 -0.452708
9	 -0.173186
10	 0.106336
11	 0.385858
12	 0.385858
13	 0.385858
14	 0.385858
14	  knots in v direction
1	 -2.692794
2	 -1.795196
3	 -0.897598
4	 0.000000
5	 0.897598
6	 1.795196
7	 2.692794
8	 3.590392
9	 4.487990
10	 5.385587
11	 6.283185
12	 7.180783
13	 8.078381
14	 8.975979
Control points are: 
10 	 in u direction 
10 	 in v direction 
Iu 	 Jv 	 A_IJ 
1	 1	 0.516847
1	 2	 0.516847
1	 3	 0.516847
1	 4	 0.516847
1	 5	 0.516847
1	 6	 0.516847
1	 7	 0.516847
1	 8	 0.516847
1	 9	 0.516847
1	 10	 0.516847
2	 1	 0.516847
2	 2	 0.516847
2	 3	 0.516847
2	 4	 0.516847
2	 5	 0.516847
2	 6	 0.516847
2	 7	 0.516847
2	 8	 0.516847
2	 9	 0.516847
2	 10	 0.516847
3	 1	 0.498369
3	 2	 0.498369
3	 3	 0.498369
3	 4	 0.498369
3	 5	 0.498369
3	 6	 0.498369
3	 7	 0.498369
3	 8	 0.498369
3	 9	 0.498369
3	 10	 0.498369
4	 1	 0.468717
4	 2	 0.468717
4	 3	 0.468717
4	 4	 0.468717
4	 5	 0.468717
4	 6	 0.468717
4	 7	 0.468717
4	 8	 0.468717
4	 9	 0.468717
4	 10	 0.468717
5	 1	 0.467068
5	 2	 0.467068
5	 3	 0.467068
5	 4	 0.467068
5	 5	 0.467068
5	 6	 0.467068
5	 7	 0.467068
5	 8	 0.467068
5	 9	 0.467068
5	 10	 0.467068
6	 1	 0.478551
6	 2	 0.478551
6	 3	 0.478551
6	 4	 0.478551
6	 5	 0.478551
6	 6	 0.478551
6	 7	 0.478551
6	 8	 0.478551
6	 9	 0.478551
6	 10	 0.478551
7	 1	 0.496663
7	 2	 0.496663
7	 3	 0.496663
7	 4	 0.496663
7	 5	 0.496663
7	 6	 0.496663
7	 7	 0.496663
7	 8	 0.496663
7	 9	 0.496663
7	 10	 0.496663
8	 1	 0.522270
8	 2	 0.522270
8	 3	 0.522270
8	 4	 0.522270
8	 5	 0.522270
8	 6	 0.522270
8	 7	 0.522270
8	 8	 0.522270
8	 9	 0.522270
8	 10	 0.522270
9	 1	 0.544791
9	 2	 0.544791
9	 3	 0.544791
9	 4	 0.544791
9	 5	 0.544791
9	 6	 0.544791
9	 7	 0.544791
9	 8	 0.544791
9	 9	 0.544791
9	 10	 0.544791
10	 1	 0.556041
10	 2	 0.556041
10	 3	 0.556041
10	 4	 0.556041
10	 5	 0.556041
10	 6	 0.556041
10	 7	 0.556041
10	 8	 0.556041
10	 9	 0.556041
10	 10	 0.556041
